Cell,SRR1033853,SRR1033854,SRR1033855,SRR1033856,SRR1033857,SRR1033858,SRR1033859,SRR1033860,SRR1033861,SRR1033862,SRR1033863,SRR1033864,SRR1033865,SRR1033866,SRR1033867,SRR1033868,SRR1033869,SRR1033870,SRR1033871,SRR1033872,SRR1033875,SRR1033876,SRR1033877,SRR1033878,SRR1033879,SRR1033880,SRR1033881,SRR1033882,SRR1033883,SRR1033884,SRR1033885,SRR1033886,SRR1033887,SRR1033888,SRR1033889,SRR1033890,SRR1033891,SRR1033892,SRR1033893,SRR1033894,SRR1033895,SRR1033896,SRR1033897,SRR1033898,SRR1033899,SRR1033900,SRR1033901,SRR1033902,SRR1033903,SRR1033904,SRR1033905,SRR1033906,SRR1033907,SRR1033908,SRR1033909,SRR1033910,SRR1033911,SRR1033912,SRR1033913,SRR1033914,SRR1033915,SRR1033916,SRR1033917,SRR1033918,SRR1033919,SRR1033920,SRR1033921,SRR1033922,SRR1033923,SRR1033924,SRR1033925,SRR1033926,SRR1033927,SRR1033928,SRR1033929,SRR1033930,SRR1033931,SRR1033932,SRR1033933,SRR1033934
ERCC Reads,1583224,585599,1181752,2032010,1141411,1687811,1715423,3369244,310092,2403511,3380307,1032638,108539,3438009,1514788,1685198,1986049,3674015,1296694,1397271,2172393,466701,1582140,496387,1645001,396698,935623,1329686,1468001,719403,804207,429081,1407835,929085,1057315,407610,477169,862621,1019549,1162670,798983,2504220,2042033,2386605,2113934,2031817,908447,411294,359255,2581878,331936,1793472,650406,1627010,70895,1342520,502085,1317851,814210,881806,1205870,1231749,1022383,1138145,1305049,938130,1216654,1607444,1750014,390755,898384,751235,1907758,930811,1499902,553667,1062797,1393302,475440,1331781
Cell Reads,6850738,6598942,6340418,6610259,8636602,5083351,5425912,5675507,1793293,6116724,1215249,4681450,350852,5476554,4896570,3597670,4803956,2688616,5147388,4913481,1465740,1879309,1944967,2699036,3158802,1629315,2227342,2590782,2490682,2379669,2261095,2095503,2758260,1866203,2828291,1960597,1745349,2106363,2790876,3226174,2389461,2767017,2194973,2681654,1130667,2441969,2254267,1928235,1779119,2374593,1269811,2359560,2105375,2745260,169329,3497436,5146704,5597887,5139661,4451875,5126539,5152979,3762282,3550380,3640891,4786457,3752846,3733442,3837834,4906480,5032681,3519441,3824469,3888010,3839914,5484069,4540728,3964404,2492816,2896463
Unclassified Reads,777938,481963,393552,971025,559009,638950,618457,935323,193883,673675,828374,411540,128217,792981,574848,633574,546503,1502487,497542,482484,893979,647084,975907,834571,1213171,588587,798427,921224,1029809,827526,761328,683854,1135475,689768,966514,630701,578814,716404,924263,1104094,794270,1299595,1052276,1178673,870117,1082056,818828,623509,550226,1336305,392617,1014192,701223,1115418,32320,315078,228927,345968,265027,250201,304309,327758,249393,245273,305330,290169,280446,325440,323608,209409,293297,232340,382281,262705,415364,252558,298903,322958,94830,319996
Total Reads,9211900,7666504,7915722,9613294,10337022,7410112,7759792,9980074,2297268,9193910,5423930,6125628,587608,9707544,6986206,5916442,7336508,7865118,6941624,6793236,4532112,2993094,4503014,4029994,6016974,2614600,3961392,4841692,4988492,3926598,3826630,3208438,5301570,3485056,4852120,2998908,2801332,3685388,4734688,5492938,3982714,6570832,5289282,6246932,4114718,5555842,3981542,2963038,2688600,6292776,1994364,5167224,3457004,5487688,272544,5155034,5877716,7261706,6218898,5583882,6636718,6712486,5034058,4933798,5251270,6014756,5249946,5666326,5911456,5506644,6224362,4503016,6114508,5081526,5755180,6290294,5902428,5680664,3063086,4548240
ERCC Reads (Fraction),0.171867259,0.076384099,0.149291751,0.211374998,0.110419713,0.227771321,0.22106559,0.337597096,0.134982945,0.261424247,0.623220986,0.168576675,0.184713278,0.354158477,0.216825556,0.284833013,0.270707672,0.467127766,0.186799804,0.205685626,0.479333476,0.155925942,0.351351339,0.123173136,0.273393403,0.151724164,0.236185412,0.274632505,0.294277509,0.183212796,0.210160637,0.13373517,0.265550582,0.266591125,0.217907842,0.135919475,0.170336469,0.234065178,0.215336047,0.211666325,0.200612698,0.381111555,0.386069981,0.382044338,0.513749423,0.365708204,0.228164616,0.13880821,0.133621587,0.410292373,0.16643702,0.347086172,0.188141524,0.296483692,0.260123136,0.260428932,0.085421786,0.181479531,0.130925125,0.157919884,0.181696736,0.183501165,0.20309321,0.23068334,0.248520644,0.155971414,0.231746003,0.283683643,0.296037727,0.070960643,0.144333508,0.166829298,0.312005152,0.183175487,0.260617739,0.088019256,0.180060985,0.245270975,0.155216014,0.292812385
Cell Reads (Fraction),0.743683496,0.860749828,0.800990485,0.68761644,0.835501946,0.686001912,0.699234206,0.568683859,0.780619849,0.665301705,0.224053223,0.764240009,0.597085132,0.564154435,0.700891156,0.608079991,0.65480144,0.341840517,0.741525038,0.723290196,0.323412131,0.627881717,0.431925595,0.669736977,0.524981826,0.62316033,0.562262457,0.535098474,0.499285556,0.606038357,0.590884146,0.653122485,0.520272297,0.535487235,0.582897991,0.653770306,0.623042538,0.571544434,0.58945299,0.587331224,0.599957968,0.421106033,0.414985058,0.429275363,0.274786024,0.439531758,0.566179385,0.650762832,0.661726921,0.377352221,0.63669972,0.456639774,0.60901723,0.500258032,0.621290507,0.678450617,0.875629922,0.77087767,0.826458482,0.797272399,0.772450931,0.767670726,0.747365644,0.719603843,0.693335327,0.795785731,0.714835162,0.658882316,0.649219752,0.891010932,0.808545679,0.781574172,0.625474527,0.76512646,0.667210061,0.871830315,0.769298329,0.697876868,0.813825012,0.63683161
ERCC Scale Factor,1.257254015,2.82887151,1.447372678,1.02226282,1.956904212,0.948674313,0.977451088,0.640055273,1.600800764,0.826552257,0.346716183,1.28179537,1.169817372,0.610124607,0.99656519,0.758622743,0.798207158,0.462573234,1.156750686,1.050539144,0.450794306,1.385791221,0.614999226,1.754285135,0.790365821,1.424168674,0.914877848,0.786799805,0.734275624,1.17939798,1.028169711,1.615736545,0.813708635,0.810532614,0.991615536,1.589770719,1.268552781,0.923165092,1.003458569,1.020855828,1.077104309,0.566975204,0.559693351,0.565590901,0.420595706,0.590855767,0.947039051,1.556686031,1.617109977,0.526650788,1.298273674,0.622556641,1.148501388,0.72881176,0.830686593,0.829711199,2.52957485,1.190662111,1.650415086,1.368293821,1.189238763,1.177544576,1.06394892,0.936698773,0.869468218,1.385387206,0.932403574,0.761696371,0.729909676,3.045079531,1.497093811,1.295220948,0.692555235,1.179638199,0.829110107,2.454926471,1.200042316,0.880988064,1.392129561,0.737949665
Cell Scale Factor,0.876639944,0.757412476,0.813920603,0.94811965,0.780300587,0.950351081,0.932366656,1.146406124,0.835160238,0.979920318,2.909766928,0.8530601,1.091875553,1.155610269,0.930162484,1.072133055,0.995634125,1.907154436,0.8791917,0.901356969,2.015826235,1.038320819,1.509386492,0.973430885,1.241838529,1.046187678,1.159498825,1.218360153,1.305751089,1.075744878,1.103334153,0.99819356,1.253079709,1.217475629,1.118450687,0.99720445,1.046385469,1.140668371,1.106012981,1.110008513,1.086647221,1.548167462,1.571002729,1.518705043,2.372546642,1.483266332,1.15147721,1.00181299,0.985214048,1.727676749,1.023940545,1.427695737,1.07048311,1.303212776,1.049336262,0.960928684,0.744541321,0.845714805,0.788838971,0.817716328,0.843992327,0.849247778,0.872320883,0.905974398,0.940299207,0.819243966,0.912018173,0.989467531,1.004194121,0.731688731,0.806315185,0.834140484,1.042316882,0.852071772,0.977117548,0.747786177,0.847451026,0.934180066,0.801084568,1.023728484
